name,address,city,state,stars,categories,Simplified Category,ZIP Code,Neighborhood,Population Density,Median Household Income,% White,% Black,% Hispanic,% Asian,% Other,Predicted Growth,Avg Real Estate Price
Saucin Wings,5210 N Florida Ave,Tampa,FL,4,"Chicken Wings, Food Trucks, Restaurants, Food, Food Stands, Caterers, Event Planning & Services",Food Trucks,33603,Seminole Heights,3100.0,45000.0,50.0,30.0,15.0,5.0,0.0,23.18,204222
Hoosiers Grille,10630 Plantation Bay Dr,Tampa,FL,3,"Event Planning & Services, Restaurants, Caterers, Bars, American (New), Nightlife",Bar & Wines,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,12.57,185666
Origami Sushi,6507 W Waters Ave,Tampa,FL,4,"Restaurants, Sushi Bars, Japanese",Bar & Wines,33634,Near Town 'n' Country,3500.0,50000.0,49.0,21.0,25.0,5.0,0.0,8.13,179199
So Gourmet,3301 S Dale Mabry Hwy,Tampa,FL,4,"Tapas/Small Plates, Bakeries, Cafes, Sandwiches, Bars, Wine Bars, Nightlife, French, Restaurants, Food",Coffee/Cafe,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,27.89,297935
The Fountainhead Wine and Beer Bar,11595 Fountainhead Dr,Tampa,FL,4,"Bars, Nightlife, Wine Bars, Beer Bar",Bar & Wines,33626,Westchase,2600.0,85000.0,60.0,15.0,18.0,7.0,0.0,9.98,251619
Ginza,"6417 E County Line Rd, Ste 104",Tampa,FL,3,"Restaurants, Sushi Bars, Japanese",Bar & Wines,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,13.59,185666
Ducky's Sports Lounge,1719 W Kennedy Blvd,Tampa,FL,3,"Bars, Nightlife, Restaurants, Sports Bars, American (Traditional)",Bar & Wines,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,29.01,370227
California Pizza Kitchen at International Plaza,"2223 N West Shore Blvd, Space 189",Tampa,FL,4,"Restaurants, American (New), Pizza, Salad, American (Traditional)",American & Fast Food,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,23.72,312328
Five Guys,6431 County Line Rd,Tampa,FL,3,"Food, Burgers, Fast Food, Restaurants, American (New)",American & Fast Food,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,2.92,185666
Fermented Reality Biergarten,615 Channelside Dr,Tampa,FL,3,"Beer Gardens, Nightlife, Bars",Bar & Wines,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,32.89,458315
Pollo Tropical,6276 W Waters Ave,Tampa,FL,2,"Fast Food, Restaurants, Chicken Shop, Latin American, Caribbean, Cuban",Latin,33634,Near Town 'n' Country,3500.0,50000.0,49.0,21.0,25.0,5.0,0.0,21.97,179199
