name,address,city,state,stars,categories,Simplified Category,ZIP Code,Neighborhood,Population Density,Median Household Income,% White,% Black,% Hispanic,% Asian,% Other,Predicted Growth,Avg Real Estate Price
Popeyes Louisiana Kitchen,2201 E Hillsborough Ave,Tampa,FL,2,"Southern, Fast Food, American (Traditional), Restaurants, Chicken Wings",American & Fast Food,33610,Other,,Other,Other,Other,Other,Other,Other,,161340
Ruby Tuesday,17520 Bruce B Downs Blvd,Tampa,FL,2,"American (Traditional), Burgers, Food, Restaurants",American & Fast Food,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,15.01,185666
Harvest Station,2712 W Waters Ave,Tampa,FL,4,"Specialty Food, Restaurants, Juice Bars & Smoothies, Food, Fruits & Veggies, Salad",Bar & Wines,33614,Near Westshore,3700.0,46000.0,45.0,25.0,27.0,3.0,0.0,19.08,438346
7-Eleven,12049 W Linebaugh Ave,Tampa,FL,3,"Coffee & Tea, Gas Stations, Service Stations, Food, Automotive, Gas Stations, Convenience Stores",Coffee/Cafe,33626,Westchase,2600.0,85000.0,60.0,15.0,18.0,7.0,0.0,23.9,251619
Nature's Own Bakery Outlet,3902 S 50th St,Tampa,FL,4,"Bakeries, Food",Other,33619,East Tampa,4100.0,37000.0,25.0,50.0,20.0,5.0,0.0,20.38,498759
Council Oak Steaks & Seafood,5223 Orient Rd,Tampa,FL,4,"Restaurants, Burgers, Steakhouses, Seafood",American & Fast Food,33610,Other,,Other,Other,Other,Other,Other,Other,,161340
Martini Republic,912 N Franklin St,Tampa,FL,3,"Bars, Nightlife",Bar & Wines,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,29.8,458315
Pizza Squared,11124 N 30th St,Tampa,FL,4,"Sandwiches, Pizza, Restaurants, Chicken Wings",Other,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Pizzazzone Brick Oven Pizzeria,17022 Palm Pointe Dr,Tampa,FL,4,"Restaurants, Pizza, Chicken Wings, Sandwiches",Other,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,23.26,185666
Banh Mi Factory,15728 N Dale Mabry Hwy,Tampa,FL,4,"Bubble Tea, Bakeries, Sandwiches, Vietnamese, Restaurants, Food",Other,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,3.26,323283
Mr & Mrs Crab,15412 N Dale Mabry Hwy,Tampa,FL,4,"Cajun/Creole, Restaurants, Seafood, Nightlife, Bars",Bar & Wines,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,22.89,323283
Ulele Bar,4100 George J Bean Pkwy,Tampa,FL,3,"Restaurants, Nightlife, Bars, American (Traditional)",Bar & Wines,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,14.46,312328
The Great American Bagel Bakery,4100 George J Bean Outbound Pkwy,Tampa,FL,2,"Bakeries, Food, Bagels",Other,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,33.36,312328
Jerk Hut,207 E Twiggs St,Tampa,FL,3,"Caribbean, Restaurants",Latin,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,30.38,458315
Snow & Yogurt,8315 Sheldon Rd,Tampa,FL,4,"Food, Ice Cream & Frozen Yogurt, Desserts, Juice Bars & Smoothies",Bar & Wines,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,27.4,320788
Hungry Howie's Pizza & Subs,8414 N Armenia Ave,Tampa,FL,3,"Italian, Chicken Wings, Pizza, Restaurants",Italian,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,23.7,381090
McDonald's,19080 Bruce B Downs Blvd,Tampa,FL,1,"Fast Food, Coffee & Tea, Food, Restaurants, Burgers",Coffee/Cafe,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,7.62,185666
Martin's BBQ,7036 W Waters Ave,Tampa,FL,3,"Latin American, Restaurants, Puerto Rican, Caribbean, Barbeque, Chicken Shop",Latin,33634,Near Town 'n' Country,3500.0,50000.0,49.0,21.0,25.0,5.0,0.0,2.83,179199
Philly Phlava,"13149 N Dale Mabry Hwy, Ste E",Tampa,FL,4,"American (Traditional), Restaurants, Sandwiches, Breakfast & Brunch, Cheesesteaks, Steakhouses, Diners",American & Fast Food,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,11.28,323283
Zimo Bakery & Cafe,10115 E Adamo Dr,Tampa,FL,4,"Bakeries, Desserts, Food, Cafes, Restaurants",Coffee/Cafe,33619,East Tampa,4100.0,37000.0,25.0,50.0,20.0,5.0,0.0,7.11,498759
Margaritas Mexican Restaurant,209 E Davis Blvd,Tampa,FL,3,"Soup, Desserts, Restaurants, Food, Mexican",Latin,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,22.24,370227
Kung Fu Tea,1202 E Fowler Ave,Tampa,FL,4,"Food, Coffee & Tea, Bubble Tea, Restaurants, Asian Fusion, Juice Bars & Smoothies",Coffee/Cafe,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Blue Torch Cigars & Winery,"5908 N Armenia Ave, Ste 400",Tampa,FL,4,"Nightlife, Food, Wineries, Cigar Bars, Arts & Entertainment, Shopping, Tobacco Shops, Bars",Bar & Wines,33603,Seminole Heights,3100.0,45000.0,50.0,30.0,15.0,5.0,0.0,30.24,204222
Taj Indian Cuisine,2734 E Fowler Ave,Tampa,FL,3,"Restaurants, Indian",Other,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Islands Pizza,235 E Davis Blvd,Tampa,FL,3,"Restaurants, Nightlife, Bars, Pizza, Sports Bars",Bar & Wines,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,26.32,370227
Skipper's Smokehouse,910 Skipper Rd,Tampa,FL,3,"Nightlife, Food, Smokehouse, Bars, Seafood, American (Traditional), Restaurants, Music Venues, Arts & Entertainment",Bar & Wines,33613,University Area,4500.0,30000.0,30.0,40.0,25.0,5.0,0.0,5.96,255955
Riverwalk Cafe at TMA,120 W Gasparilla Plz,Tampa,FL,3,"Nightlife, Cocktail Bars, Restaurants, Breakfast & Brunch, Bars, Cafes",Coffee/Cafe,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,30.17,458315
Mita's Kitchen,"1704 1/2 E 7th Ave, Fl 2nd",Tampa,FL,4,"Shopping, Nightlife, Bars, Cocktail Bars, Tobacco Shops, Lounges, Restaurants, Latin American",Bar & Wines,33605,Ybor City,2800.0,35000.0,40.0,25.0,30.0,5.0,0.0,25.84,220423
The Blind Tiger Cafe - Seminole Heights,4304 N Florida Ave,Tampa,FL,4,"American (Traditional), Sandwiches, Vegetarian, Coffee & Tea, Vegan, Restaurants, Desserts, Cafes, Patisserie/Cake Shop, Bagels, Bakeries, Food",Coffee/Cafe,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,14.61,381090
Restaurant BT,2507 S MacDill Ave,Tampa,FL,4,"American (New), Vietnamese, French, Restaurants",American & Fast Food,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,18.79,297935
Gallery Chophouse,14803 N Dale Mabry Hwy,Tampa,FL,4,"Bars, Art Galleries, Arts & Entertainment, Cocktail Bars, Steakhouses, Restaurants, Shopping, Nightlife",Bar & Wines,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,21.41,323283
McDonald's,501 E Dr M L K Jr Dr,Tampa,FL,1,"Restaurants, Burgers, Fast Food, Food, Coffee & Tea",Coffee/Cafe,33603,Seminole Heights,3100.0,45000.0,50.0,30.0,15.0,5.0,0.0,5.42,204222
H2 Kitchen + Pizzeria,6113 North Florida Ave,Tampa,FL,4,"Food Delivery Services, Chicken Wings, American (Traditional), Pizza, Restaurants, Food",American & Fast Food,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,15.08,381090
Pascal's Artisan Bistro & Gourmet Coffee,241 E Davis Blvd,Tampa,FL,4,"Restaurants, Food, Nightlife, Wine Bars, American (New), Coffee & Tea, Bars, Sandwiches, Breakfast & Brunch",Coffee/Cafe,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,12.76,370227
Hungry Howie's Pizza & Subs,"7620 Gunn Hwy, Ste 130",Tampa,FL,4,"Chicken Wings, Italian, Sandwiches, Restaurants, Pizza",Italian,33625,Other,,Other,Other,Other,Other,Other,Other,,106613
Anchor and Brine,505 Water St,Tampa,FL,3,"Cocktail Bars, Restaurants, Nightlife, American (New), Bars, Seafood",Bar & Wines,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,12.86,458315
Hotel Bar,200 N Tampa St,Tampa,FL,4,"Bars, Nightlife, Cocktail Bars, Gastropubs, Restaurants",Bar & Wines,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,2.39,458315
Starbucks,1501 E Fowler Ave,Tampa,FL,3,"Restaurants, Food, Breakfast & Brunch, Coffee & Tea",Coffee/Cafe,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Golden Krust Caribbean Restaurant,"2525 East Hillsborough Ave, Ste 157",Tampa,FL,3,"Restaurants, Caribbean",Latin,33610,Other,,Other,Other,Other,Other,Other,Other,,161340
Zaytoun Mediterranean Grill,10970 Cross Creek Blvd,Tampa,FL,4,"Lebanese, Middle Eastern, Halal, Syrian, Mediterranean, Greek, Restaurants",Other,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,24.08,185666
Chubby's Super Subs & Pizza,5023 Bayshore Blvd,Tampa,FL,3,"Wine Bars, Pizza, Sandwiches, Nightlife, Italian, Bars, Restaurants",Bar & Wines,33611,South Tampa,3000.0,70000.0,55.0,15.0,25.0,5.0,0.0,16.49,185237
La Teresita Grocery,3302 W Columbus Dr,Tampa,FL,4,"Food, Spanish, Grocery, Restaurants, Cuban",Latin,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,36.7,312328
Candor Grille,"10150 Highland Manor Dr, Ste 110",Tampa,FL,5,"Delis, Cafes, Breakfast & Brunch, Seafood, Restaurants, American (New), American (Traditional)",Coffee/Cafe,33610,Other,,Other,Other,Other,Other,Other,Other,,161340
Secrets Gentlemen's Club,8829 W Hillsborough Ave,Tampa,FL,4,"Bars, Lounges, Adult Entertainment, Nightlife",Bar & Wines,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,10.6,320788
Got Tea,"2202 W Waters Ave, Ste 4",Tampa,FL,4,"Food, Juice Bars & Smoothies, Coffee & Tea, Ice Cream & Frozen Yogurt, Bubble Tea",Coffee/Cafe,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,15.18,381090
Three Palms Brewing,1509 Hobbs St,Tampa,FL,4,"Beer, Wine & Spirits, Bars, Nightlife, Breweries, Food",Bar & Wines,33619,East Tampa,4100.0,37000.0,25.0,50.0,20.0,5.0,0.0,18.02,498759
Bearss Sandwiches,14022 N Florida Ave,Tampa,FL,4,"Sandwiches, Restaurants, Cuban, Salad, Delis",Latin,33613,University Area,4500.0,30000.0,30.0,40.0,25.0,5.0,0.0,4.75,255955
Zauq,4040 W Waters Ave,Tampa,FL,4,"Restaurants, Pakistani, Indian, Halal",Other,33614,Near Westshore,3700.0,46000.0,45.0,25.0,27.0,3.0,0.0,23.71,438346
Crown Royal Day Spa,2825 S Macdill Ave,Tampa,FL,4,"Coffee & Tea, Day Spas, Restaurants, Cafes, Massage, Skin Care, Beauty & Spas, Food, Hair Salons, Nail Salons",Coffee/Cafe,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,6.7,297935
Interbay Meat Market & Groceries,6110 Interbay Blvd,Tampa,FL,4,"Specialty Food, Meat Shops, Restaurants, Grocery, Delis, Food, Cuban",Latin,33611,South Tampa,3000.0,70000.0,55.0,15.0,25.0,5.0,0.0,18.59,185237
Empanada World,4123 Henderson Blvd,Tampa,FL,4,"Restaurants, Latin American, Ethnic Food, Specialty Food, Food, Empanadas",American & Fast Food,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,20.16,297935
Twisted Turtle Bar And Grill,11742 N Dale Mabry Hwy,Tampa,FL,3,"Burgers, Sandwiches, Chicken Wings, Restaurants",American & Fast Food,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,4.26,323283
Barley's Billiards & Grille,9505 Anderson Rd,Tampa,FL,4,"Nightlife, American (Traditional), Pool Halls, Restaurants",American & Fast Food,33614,Near Westshore,3700.0,46000.0,45.0,25.0,27.0,3.0,0.0,2.27,438346
The Cafe at Waterford,"7650 W Courtney Campbell Cswy, Ste 285",Tampa,FL,5,"Event Planning & Services, Caterers, Cafes, Breakfast & Brunch, Delis, Food, Soup, Burgers, Salad, Food Delivery Services, Sandwiches, Coffee Roasteries, Restaurants",Coffee/Cafe,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,29.67,312328
Zydeco Brew Werks,1902 E 7th Ave,Tampa,FL,4,"Breweries, Food, Nightlife, Restaurants, Bars",Bar & Wines,33605,Ybor City,2800.0,35000.0,40.0,25.0,30.0,5.0,0.0,12.87,220423
Ashley Street Grill,200 N Ashley Dr,Tampa,FL,3,"Restaurants, American (Traditional)",American & Fast Food,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,2.04,458315
La Unica Michoacana,2800 N Macdill Ave,Tampa,FL,4,"Restaurants, Ice Cream & Frozen Yogurt, Tapas/Small Plates, Food, Mexican",Latin,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,37.8,312328
Apadana Pub,2806 E Busch Blvd,Tampa,FL,3,"Pubs, Nightlife, Bars",Bar & Wines,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Taco King,4001 N Armenia Ave,Tampa,FL,4,"Restaurants, Food, Mexican, Food Trucks",Latin,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,26.41,312328
Dulce Cafe Tacos & More,3310 W Kennedy Blvd,Tampa,FL,4,"Bakeries, Restaurants, Food, Desserts, Coffee & Tea, Spanish, Mexican, Ice Cream & Frozen Yogurt",Coffee/Cafe,33609,Near Westshore,3600.0,58000.0,52.0,22.0,22.0,4.0,0.0,35.41,411201
Bruegger's Bagels,501 E Kennedy Blvd,Tampa,FL,4,"Restaurants, Breakfast & Brunch, Bagels, Sandwiches, Food",Other,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,8.37,458315
Top China,13306 Telecom Dr,Tampa,FL,4,"Chinese, Restaurants",Asian,33637,Other,,Other,Other,Other,Other,Other,Other,,133434
Cena,1208 E Kennedy Blvd,Tampa,FL,4,"Italian, Restaurants",Italian,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,4.25,458315
World Of Beer,402 S Howard Ave,Tampa,FL,3,"Bars, Food, Breweries, Pubs, American (Traditional), Sports Bars, Arts & Entertainment, Nightlife, Restaurants, Gastropubs, Music Venues",Bar & Wines,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,9.7,370227
Café Waterside,505 Water Street,Tampa,FL,3,"American (Traditional), Restaurants, Seafood",American & Fast Food,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,3.54,458315
Starbucks,4100 George J Bean Pkwy,Tampa,FL,3,"Specialty Food, Coffee & Tea, Food",Coffee/Cafe,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,26.3,312328
Lauro Ristorante,3915 Henderson Blvd,Tampa,FL,4,"Restaurants, Italian",Italian,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,1.93,297935
Chow Bella,"1511 N Westshore Blvd, Ste 150, Tower Place",Tampa,FL,5,"Delis, Restaurants, Soup, Event Planning & Services, Food, Caterers, Juice Bars & Smoothies",Bar & Wines,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,19.36,312328
Mi Bandera,7748 W Hillsborough Ave,Tampa,FL,4,"Latin American, American (New), Restaurants, Bars, Colombian, Nightlife",Bar & Wines,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,33.89,320788
Farrell's On the Island,221 E Davis Blvd,Tampa,FL,4,"Restaurants, Ice Cream & Frozen Yogurt, Food, American (New), Sandwiches, American (Traditional)",American & Fast Food,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,26.05,370227
McDonald's,6192 Gunn Hwy,Tampa,FL,1,"Fast Food, Coffee & Tea, Food, Restaurants, Burgers",Coffee/Cafe,33625,Other,,Other,Other,Other,Other,Other,Other,,106613
Tasty Stacy,Food Truck,Tampa,FL,4,"Food, Food Trucks, Street Vendors",Food Trucks,33549,Other,,Other,Other,Other,Other,Other,Other,,150775
Petey Brown's At Grand Hyatt Tampa Bay,6200 W Courtney Cmpbll Cswy,Tampa,FL,3,"Restaurants, American (New), Seafood",American & Fast Food,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,23.71,312328
Jasmine Thai and Sushi Restaurant,4516 S Dale Mabry Hwy,Tampa,FL,3,"Restaurants, Thai, Sushi Bars",Bar & Wines,33611,South Tampa,3000.0,70000.0,55.0,15.0,25.0,5.0,0.0,15.81,185237
Freshley's Cafe,5420 N Florida Ave,Tampa,FL,3,"Food, Restaurants, Cafes",Coffee/Cafe,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,12.78,381090
The Boat House,615 Channelside Dr,Tampa,FL,4,"Local Flavor, Bars, Nightlife",Bar & Wines,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,4.57,458315
Ybor City Barbering Company,1506 N 15th St,Tampa,FL,4,"Pool Halls, Event Planning & Services, Venues & Event Spaces, Hair Stylists, Men's Hair Salons, Nightlife, Beer Bar, Wedding Planning, Bars, Beauty & Spas, Barbers, Hair Salons",Bar & Wines,33605,Ybor City,2800.0,35000.0,40.0,25.0,30.0,5.0,0.0,24.82,220423
Pipo's Restaurant,7233 W Hillsborough Ave,Tampa,FL,4,"Breakfast & Brunch, Restaurants, Sandwiches, Cuban, Food",Latin,33634,Near Town 'n' Country,3500.0,50000.0,49.0,21.0,25.0,5.0,0.0,15.74,179199
Rocky Pointe Cafe,"2502 N Rocky Point Dr, Ste 175",Tampa,FL,5,"Mexican, Tacos, Sandwiches, Restaurants, Cafes",Coffee/Cafe,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,7.4,312328
Piccola Italia Bistro,2140 W Dr Martin Luther King Jr Blvd,Tampa,FL,4,"Italian, Pasta Shops, Cooking Classes, Restaurants, Specialty Food, Arts & Crafts, Food, Shopping",Italian,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,13.97,312328
Snowrolls,"2223 N Westshore Blvd, Ste B 2",Tampa,FL,4,"Food, Gelato, Coffee & Tea, Ice Cream & Frozen Yogurt, Desserts, Specialty Food, Chocolatiers & Shops",Coffee/Cafe,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,15.74,312328
Bagels Plus,2706 E Fletcher Ave,Tampa,FL,4,"Bagels, Restaurants, Food",Other,33613,University Area,4500.0,30000.0,30.0,40.0,25.0,5.0,0.0,37.24,255955
Panera Bread,112 Westshore Blvd,Tampa,FL,3,"Soup, Food, Breakfast & Brunch, Sandwiches, Salad, Restaurants, Bagels",Other,33609,Near Westshore,3600.0,58000.0,52.0,22.0,22.0,4.0,0.0,26.41,411201
Miller's Ale House,2108 E Fowler Ave,Tampa,FL,4,"Seafood, Sports Bars, Bars, Restaurants, Nightlife, American (Traditional), American (New)",Bar & Wines,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Einstein Bros. Bagels,619 S Dale Mabry Hwy,Tampa,FL,2,"Food, Bagels, Restaurants, Sandwiches, Breakfast & Brunch",Other,33609,Near Westshore,3600.0,58000.0,52.0,22.0,22.0,4.0,0.0,0.4,411201
The Body Shop,14905 N Nebraska Ave,Tampa,FL,4,"Nightlife, Bars, Gay Bars",Bar & Wines,33613,University Area,4500.0,30000.0,30.0,40.0,25.0,5.0,0.0,18.73,255955
BrightSide Artisan Comfort Cafe,204 N Morgan St,Tampa,FL,4,"Restaurants, Coffee & Tea, Food, Event Planning & Services, Caterers, American (Traditional), Sandwiches, Wraps, Cafes, Breakfast & Brunch, Pizza",Coffee/Cafe,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,16.85,458315
Thai Mama,"8130 W Waters Ave, Ste 100",Tampa,FL,4,"Restaurants, Food Trucks, Coffee & Tea, Vegan, Caterers, Event Planning & Services, Salad, Thai, Food, Seafood",Coffee/Cafe,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,0.65,320788
Sprouts Farmers Market,8620 Hunters Village Rd,Tampa,FL,3,"Food, Grocery, Specialty Food, Organic Stores, Farmers Market, Vitamins & Supplements, Health Markets, Shopping",Other,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,6.5,185666
Wendy's,1507 E. Fowler,Tampa,FL,3,"Fast Food, Restaurants, Burgers",American & Fast Food,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Blue Island Grill and Lounge,"2202 W Waters Ave, Ste 7",Tampa,FL,4,"Bars, Restaurants, Nightlife, Caribbean, Lounges, American (Traditional)",Latin,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,4.11,381090
Wawa,2604 South US Highway 301,Tampa,FL,3,"Food, Coffee & Tea, Sandwiches, Automotive, Convenience Stores, Gas Stations, Restaurants",Coffee/Cafe,33619,East Tampa,4100.0,37000.0,25.0,50.0,20.0,5.0,0.0,21.95,498759
Sabrosito's,"5011 W Hillsborough Ave, Ste A",Tampa,FL,4,"Restaurants, Cuban",Latin,33634,Near Town 'n' Country,3500.0,50000.0,49.0,21.0,25.0,5.0,0.0,7.53,179199
Bar Asia,122 S Howard Ave,Tampa,FL,3,"Restaurants, Bars, Nightlife, Asian Fusion",Bar & Wines,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,0.39,370227
Cristino's Coal Oven Pizza & Restaurant,1701 E 8th Ave,Tampa,FL,4,"Pizza, Italian, Restaurants, Food, Gelato",Italian,33605,Ybor City,2800.0,35000.0,40.0,25.0,30.0,5.0,0.0,6.75,220423
82 West Distilling,6430 N Florida Ave,Tampa,FL,4,"Distilleries, Food, Bars, Nightlife, Beer, Wine & Spirits",Bar & Wines,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,29.28,381090
Hammered Harry's,6807 E Adamo Dr,Tampa,FL,3,"Social Clubs, Sports Bars, Bars, Nightlife, Arts & Entertainment",Bar & Wines,33619,East Tampa,4100.0,37000.0,25.0,50.0,20.0,5.0,0.0,32.86,498759
Cold Stone Creamery,"3810 W Neptune St, Ste B6",Tampa,FL,3,"Cupcakes, Ice Cream & Frozen Yogurt, Custom Cakes, Food",Dessert,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,29.75,297935
Carrollwood Liquors,11401 N Dale Mabry Hwy,Tampa,FL,4,"Food, Drive-Thru Bars, Beer, Wine & Spirits, Nightlife, Bars",Bar & Wines,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,13.66,323283
Sabor Paisa Restaurant,7006 Hanley Rd,Tampa,FL,4,"Colombian, Latin American, Spanish, Restaurants",American & Fast Food,33634,Near Town 'n' Country,3500.0,50000.0,49.0,21.0,25.0,5.0,0.0,3.84,179199
Publix,1313 S Dale Mabry Hwy,Tampa,FL,3,"Bakeries, Food, Grocery, Restaurants, Shopping, Photography Stores & Services, Fashion, Department Stores",Other,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,16.99,297935
Frankies,909 W Kennedy Blvd,Tampa,FL,3,"Burgers, Fast Food, Hot Dogs, Restaurants",American & Fast Food,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,14.54,370227
Simply Good,5553 S 78th St,Tampa,FL,4,"Restaurants, Coffee & Tea, Seafood, Food, Southern, Soul Food, Barbeque",Coffee/Cafe,33619,East Tampa,4100.0,37000.0,25.0,50.0,20.0,5.0,0.0,34.62,498759
Bungalow Bistro,5137 N Florida Ave,Tampa,FL,3,"American (Traditional), Restaurants",American & Fast Food,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,2.94,381090
Chick-fil-A,3019 Cove Bend Dr,Tampa,FL,3,"Restaurants, Chicken Shop, Fast Food, Event Planning & Services, Caterers, Chicken Wings",American & Fast Food,33613,University Area,4500.0,30000.0,30.0,40.0,25.0,5.0,0.0,21.97,255955
Istanblu Restaurant & Grill,1919 E 7th Ave,Tampa,FL,3,"Greek, Middle Eastern, Bars, Nightlife, Restaurants, Turkish, Mediterranean",Bar & Wines,33605,Ybor City,2800.0,35000.0,40.0,25.0,30.0,5.0,0.0,4.2,220423
Wingets,3336 S Dale Mabry Hwy,Tampa,FL,4,"Chicken Wings, Restaurants",Other,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,10.06,297935
Sweetwater Organic Community Farm,6942 W Comanche Ave,Tampa,FL,4,"CSA, Food, Farmers Market",Other,33634,Near Town 'n' Country,3500.0,50000.0,49.0,21.0,25.0,5.0,0.0,25.81,179199
Carrollwood Café & Deli,11606 N Dale Mabry Hwy,Tampa,FL,4,"Restaurants, Delis, Event Planning & Services, Sandwiches, Caterers, Food, Soup, Cafes",Coffee/Cafe,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,13.33,323283
Burger 21 - Airside A,4001 BESSIE COLEMAN BLVD,Tampa,FL,2,"Burgers, Restaurants, American (Traditional)",American & Fast Food,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,14.28,312328
Xtreme Juice,619 S Dale Mabry Hwy,Tampa,FL,4,"Food, Juice Bars & Smoothies, Local Flavor",Bar & Wines,33609,Near Westshore,3600.0,58000.0,52.0,22.0,22.0,4.0,0.0,14.2,411201
Meanchi's Peruvian Inspired Sandwiches,1529 W North A St,Tampa,FL,5,"Restaurants, Food Trucks, Food, Sandwiches, Peruvian, Gluten-Free",Food Trucks,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,14.7,370227
Mike's Pies,"10350 Windhorst Rd, Ste 100",Tampa,FL,5,"Restaurants, Food, Bakeries, Desserts",Dessert,33619,East Tampa,4100.0,37000.0,25.0,50.0,20.0,5.0,0.0,32.19,498759
The Colonnade Restaurant,3401 Bayshore Bvld,Tampa,FL,3,"Seafood, American (New), Restaurants",American & Fast Food,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,27.65,297935
Monserrate Restaurant Bar & Grill,2311 W Hillsborough Ave,Tampa,FL,4,"Latin American, Nightlife, Restaurants, Cafes, American (Traditional), Colombian, Mexican, Puerto Rican, Seafood, Caribbean, Spanish",Coffee/Cafe,33603,Seminole Heights,3100.0,45000.0,50.0,30.0,15.0,5.0,0.0,29.62,204222
